ID,Title , Author,Type, Print,Online,Volume,Issue
40,Colin Burgess: The age of Stonehenge (Archaeology in the Landscape Series),1,Book Review,1981,2015,55,213
41,Another way to life the Stonehenge lintels,1,Notes and News,1981,2015,55,214
42,A Maya metal-worker's tool from Belize,2,Article ,1982,2015,56,218
43,What future for Stonehenge,1,Article ,1983,2015,57,221
44,Christopher Chippindale: Stonehenge complete,1,Book Review,1984,2015,58,222
45,Aubrey Burl. The Stonehenge people & Rodney Castleden. The Stonehenge People,1,Book Review,1987,2015,61,233
46,Bush Barrow Gold,5,Article ,1988,2015,62,234
47,The Bush Barrow gold lozenge: is it a solar and lunar calender for Stonehenge?,3,Article ,1988,2015,62,236
48,Stonehenge from without,1,Article ,1989,2015,63,241
49,What future for Avebury,1,Article ,1990,2015,64,243
50,Julian Richards. The Stonehenge Environs project,1,Book Review,1991,2015,65,247
51,Who owns Stonehenge?,1,Book Review,1991,2015,65,247
52,Raising the Stonehenge lintels in Czechoslovakia,1,Notes and News,1992,2015,66,251
53,Megalithic transport and territorial markers: evidence from the Channel Islands,1,Article ,1992,2015,66,251
54,G.T. Meaden. The Stonehenge Solution,1,Book Review,1992,2015,66,253
55,Stonehenge: creating a definitive account,1,Article ,1992,2015,66,253
56,Chlorine-36 dating and the bluestones of Stonehenge,4,Article ,1995,2015,69,266
57,Stonehenge saved?,1,Report,1996,2015,70,267
58,Eternal stones: Stonehenge completed,1,Review,1996,2015,70,268
59,High-Resolution satellite imagery in archaeological application: a Russian satellite photograph of the Stonehenge region,1,Article ,1996,2015,70,269
60,"The future of Avebury, again",0,Report,1996,2015,70,269
61,Avebury saved?,1,Article ,1996,2015,70,269
62,John North. Stonehenge: Neolithic man and the cosmos,1,Book Review,1997,2015,71,273
63,Misleading images: Stonehenge and Brittany,1,Article ,1997,2015,71,274
64,From print culture to electronic culture,1,Article ,1997,2015,71,274
65,Stonehenge for the ancestors: the stones pass on the message,2,Article ,1998,2015,72,276
66,Stonehenge: is the medium message,2,Review,1998,2015,72,278
67,Chalk and cheese at Stonehenge,1,Review,1998,2015,72,278
68,People and the diverse past: two comments on 'Stonehenge for the ancestors',1,Review,1998,2015,72,278
69,Stonehenge for the ancestors: part two,2,Notes and News,1998,2015,72,278
70,"An Iron Age ditched enclosure system at Limes Farm, Landbeach, Cambridgeshire",2,Notes and News,2000,2015,74,284
71,New tools at Avebury,1,Article ,2000,2015,74,284
72,The Stonehenge we deserve,1,Report,2000,2015,74,284
73,Responses to Geoffrey Wainwright's report 'The Stonehenge we deserve',5,Review,2000,2015,74,286
74,Stonehenge: the stone mason and his craft,1,Notes and News,2002,2015,76,291
75,Britain-Avebury Archaeological & Historical Research Group,1,Book Review,2002,2015,76,291
76,Don't knock the ancestors,1,Article ,2003,2015,77,295
77,"A rival to Stonehenge? Geophysical survey at Stanton Drew, England",6,Article ,2004,2015,78,300
78,Non-destructive provenancing of bluestone axe-heads in Britain,3,Article ,2004,2015,78,300
79,New light on an ancient landscape: lidar survey in the Stonehenge World Heritage Site,3,Article ,2005,2015,79,305
80,The potential of airbourne lidar for detection of archaeological features under woodland canopies,4,Article ,2005,2015,79,305
81,The world recreated: redating Silbury Hill in it's monumental landscape,3,Article ,2007,2015,81,311
82,The age of Stonehenge,20,Article ,2007,2015,81,313
83,Megaliths and other stones,1,Book Review,2008,2015,82,318
84,Andrew J. Lawson. Chalkland: an archaeology of Stonehenge and it's region,1,Book Review,2009,2015,83,319
85,Who was buried at Stonehenge,9,Article ,2009,2015,83,319
86,A year at Stonehenge,1,Article ,2009,2015,83,319
87,The date of the Greater Stonehenge Cursus,7,Article ,2009,2015,83,319
88,"Brian John. The bluestones enigma: Stonehenge, Preseli, and the Ice Age.",1,Book Review,2009,2015,83,320
89,Did Neolithic farming fail? The case for a Bronze Age agricultural revolution in the British Isles,2,Article ,2012,2015,86,333
90,Stonehenge: new contexts ancient and modern,1,Report,2012,2015,86,333
91,Stonehenge remodelled,4,Article ,2012,2015,86,334
92,New era for Stonehenge,5,Article ,2014,2015,88,340
93,"Parchmarks at Stonehenge, July 2013",5,Article ,2014,2015,88,341
94,Beyond Stonehenge: Carn Menyn Quarry and the origin and date of bluestone extraction in the preseli hills of south-west Wales,2,Article ,2014,2015,88,342
95,Andean exceptionalism and the new Inka scholarship,1,Review,2015,2015,89,343
96,Fedding Stonehenge: cuisine and consumption at the Late Neolithic site of Durrington Walls,12,Article ,2015,2015,89,347
97,Craig Rhos-y-felin: a Welsh bluestone megalith quarry for Stonehenge,14,Article ,2015,2015,89,348
98,Editorial,0,Editorial,2015,2015,89,348
99,The dead of Stonehenge,11,Article ,2016,2016,90,350
100,Stonehenge's Avenue and 'Bluestonehenge',14,Article ,2016,2016,90,352
101,Neo-Prehistory-Exist. Regenerate.Repeat?,1,Review,2016,2016,90,353
